dataset,Metric,test metric,mlflow_run_name,mlflow_run_id,mlflow_run_status,Seed,experiment_id,experiment_name,index,batch_size,lr,decoder,backbone,early_stop_patience,n_trials,partition_name,data_percentages,batch_size_selection,weight_decay,partition name,frozen_or_full_ft
treesatai,Multilabel_F1_Score,0.56619793176651,treesatai_205,514579a0cb4547bfba8e12a862141747,FINISHED,205,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,32,0.0003734791062824,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.5692794322967529,treesatai_2007,8fd6e4a16794471f9ef0969e5fa534ef,FINISHED,2007,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,32,0.0003734791062824,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.5823069214820862,treesatai_1829,97191ec68050405cafc05a4e6f9a0541,FINISHED,1829,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,32,0.0003734791062824,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.5740950703620911,treesatai_913,dcf1d5274f0e473e85f2462716db9862,FINISHED,913,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,32,0.0003734791062824,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.5883854031562805,treesatai_2254,fda6f39f3e404c61a2c109d07739d428,FINISHED,2254,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,32,0.0003734791062824,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6852660179138184,cloudsen12_1829,013de86c71864a7ebddf2dfc99627927,FINISHED,1829,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,8,0.0001445329507152,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6841198205947876,cloudsen12_205,13641beeb06a46da847596d7bfe32a7c,FINISHED,205,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,8,0.0001445329507152,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6817224621772766,cloudsen12_2007,29a2a2686df74c0f9cd0e740f3ac8fbd,FINISHED,2007,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,8,0.0001445329507152,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.681662380695343,cloudsen12_2254,438bfa2d9a0f4d4aa2e9538809b47026,FINISHED,2254,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,8,0.0001445329507152,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6733182072639465,cloudsen12_913,b09d53c27e984bf596b0586201cef499,FINISHED,913,775284793786667309,final_main_satlas_resnet50_sentinel2_si_ms_satlas,0,8,0.0001445329507152,UNet,satlas_resnet50_sentinel2_si_ms_satlas,10.0,16,default,100,HPO,0.01,100%,full_ft
